"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Minnesota : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MN-99.A",234,195,108,70,27,45,93,46,42,49,51,76
"Minnesota : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MN-99.A",55,0,0,0,0,0,0,"--","--","--","--","--"
"Minnesota : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MN-99.A",33968,35056,44678,37920,56036,47289,29157,51801,64230,45644,55926,83832
"Missouri",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Missouri : coal","thousand tons","ELEC.RECEIPTS.COW-MO-99.A",44793,42559,44832,45756,43850,41138,41473,41233,34893,37752,35275,31097
"Missouri : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MO-99.A",1960,1738,1619,1285,835,470,568,827,414,562,569,487
"Missouri : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MO-99.A",42833,40820,43213,44471,43014,40667,40905,40407,34479,37190,34707,30610
"Missouri : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MO-99.A",0,0,0,0,0,0,0,0,0,0,0,0
"Missouri : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MO-99.A",155,198,333,209,158,101,232,145,144,108,206,177
"Missouri : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MO-99.A",5,12,1,0,0,0,0,"--","--","--","--","--"
"Missouri : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MO-99.A",42888,29852,39809,38707,47085,34013,31555,35353,45802,40569,54787,59690
